Company,Page_Number,Keyword,Sentiment,Context_Snippet
Ahold Delhaize,9,Scope 3,POSITIVE,"convenient for them, we are growing our enhance our European retail media ad platform validated our scope 3 greenhouse gas (GHG) omnichannel solutions – our key differentiator. and bring it over to the U.S. "
Royal FrieslandCampina NV,45,regenerative agriculture,POSITIVE,"tion of milk for dairy products supplied to these customers. In the past year, we also expanded the regenerative agriculture pilot by doubling Rewarding sustainability performance In the first half of 2025, member dairy farm"
Royal FrieslandCampina NV,51,deforestation,NEGATIVE,"se sustaina- bility statements. Where we were unable to include explanatory Product tracebility and deforestation notes, for example due to a lack of data, we explain this in the Animal health and welfare GRI tabl"
Royal FrieslandCampina NV,53,deforestation,NEGATIVE,"hysical risks due to reduced ecosystem services S, M, L Nature at the farm Product traceability and Deforestation due to cultivation of non-dairy raw materials S, M, L Land use and conversion deforestation Impact "
JDE Peet's,54,Scope 3,NEGATIVE, innovation pipeline to guarantee attractiveness for retailers – Support customers to deliver their Scope 3 environmental targets Strategic Merger & acquisition (M&A) integration Failure to develop an accura
JDE Peet's,57,Scope 3,NEGATIVE,"loss, resource scarcity and – Delivery of Farmer Support programme initiatives to contribute to GHG scope 3 emissions in the value chain, will negatively impact JDE Peet’s reduction with third-party assuranc"
Ahold Delhaize,60,Scope 3,POSITIVE,"d, in Europe, we plan and in Digital and Technology. Advancing in these Focus on our people address scope 3 emissions. These efforts support long-term business resilience and to remodel 240 stores in 2026. t"
JDE Peet's,62,regenerative agriculture,NEGATIVE," information Supplementary information COMMON GROUNDS TARGETS Read more: Read more: ESRS E4 Scaling Regenerative Agriculture, ESRS S2 Farmers' livelihoodss ESRS E1 Climate action, ESRS E4 Stopping Deforestation, ESRS E5 Pack"
Royal FrieslandCampina NV,63,Scope 3,NEGATIVE,. Emissions from associates and joint ventures that are not consolidated are included on calculates scope 3-emissions based on volumes or economic intensity. Because of these estimation uncertainties an equi
Royal FrieslandCampina NV,64,Scope 3,NEGATIVE,"s Outlook 01 03 04 05 For more information regarding the methodology and dairy emission factors for scope 3-member milk and other procured Based on the climate risk assessment, the business implications of t"
